time	V(vout)	V(n002)
2.222296458331934e-003	-2.184691e-001	9.839829e-002
2.245315431546219e-003	-2.217634e-001	9.982671e-002
2.268334404760505e-003	-2.205989e-001	9.924967e-002
2.291353377974790e-003	-2.149758e-001	9.666715e-002
2.314372351189075e-003	-2.048939e-001	9.207915e-002
2.337391324403360e-003	-1.903534e-001	8.548568e-002
2.360410297617645e-003	-1.713542e-001	7.688674e-002
2.372268556546217e-003	-1.601709e-001	7.183180e-002
2.384126815474787e-003	-1.482755e-001	6.645806e-002
2.395985074403359e-003	-1.356681e-001	6.076551e-002
2.407843333331930e-003	-1.223487e-001	5.475416e-002
2.419701592260501e-003	-1.083172e-001	4.842400e-002
2.431559851189072e-003	-9.357358e-002	4.177504e-002
2.443418110117644e-003	-7.811794e-002	3.480727e-002
2.450393556546215e-003	-6.888491e-002	3.064593e-002
2.457369002974786e-003	-5.956482e-002	2.644611e-002
2.464344449403357e-003	-5.015768e-002	2.220782e-002
2.471319895831929e-003	-4.066349e-002	1.793105e-002
2.478295342260500e-003	-3.108223e-002	1.361581e-002
2.485270788689071e-003	-2.141393e-002	9.262097e-003
2.492246235117642e-003	-1.165857e-002	4.869907e-003
2.496431502974785e-003	-5.810843e-003	2.237424e-003
2.500616770831928e-003	3.081214e-005	-3.920676e-004
2.504802038689071e-003	5.866399e-003	-3.018566e-003
2.508987306546214e-003	1.169592e-002	-5.642073e-003
2.513172574403356e-003	1.751937e-002	-8.262587e-003
2.517357842260499e-003	2.333675e-002	-1.088011e-002
2.521543110117642e-003	2.914807e-002	-1.349464e-002
2.530611190474784e-003	4.174065e-002	-1.915914e-002
2.539679270831927e-003	5.409973e-002	-2.471739e-002
2.548747351189070e-003	6.622531e-002	-3.016938e-002
2.557815431546213e-003	7.811739e-002	-3.551512e-002
2.566883511903355e-003	8.977597e-002	-4.075460e-002
2.575951592260498e-003	1.012010e-001	-4.588782e-002
2.585019672617640e-003	1.123926e-001	-5.091478e-002
2.599668110117640e-003	1.298267e-001	-5.874247e-002
2.614316547617640e-003	1.458577e-001	-6.593652e-002
2.628964985117640e-003	1.604855e-001	-7.249692e-002
2.643613422617639e-003	1.737102e-001	-7.842368e-002
2.658261860117639e-003	1.855318e-001	-8.371679e-002
2.672910297617639e-003	1.959503e-001	-8.837625e-002
2.687558735117638e-003	2.049656e-001	-9.240207e-002
2.711972797617638e-003	2.155163e-001	-9.709265e-002
2.736386860117637e-003	2.210316e-001	-9.951797e-002
2.760800922617637e-003	2.215115e-001	-9.967802e-002
2.785214985117636e-003	2.169559e-001	-9.757281e-002
2.809629047617636e-003	2.073649e-001	-9.320234e-002
2.834043110117635e-003	1.927384e-001	-8.656660e-002
2.858457172617635e-003	1.730766e-001	-7.766560e-002
2.871012976189063e-003	1.613450e-001	-7.236239e-002
2.883568779760491e-003	1.488191e-001	-6.670358e-002
2.896124583331920e-003	1.354991e-001	-6.068919e-002
2.908680386903348e-003	1.213848e-001	-5.431922e-002
2.921236190474776e-003	1.064762e-001	-4.759367e-002
2.933791994046205e-003	9.077346e-002	-4.051253e-002
2.946347797617633e-003	7.427645e-002	-3.307581e-002
2.953323244046204e-003	6.498546e-002	-2.888867e-002
2.960298690474775e-003	5.561511e-002	-2.466652e-002
2.967274136903347e-003	4.616539e-002	-2.040936e-002
2.974249583331918e-003	3.663630e-002	-1.611718e-002
2.981225029760489e-003	2.702785e-002	-1.179000e-002
2.988200476189060e-003	1.734002e-002	-7.427802e-003
2.995175922617632e-003	7.572830e-003	-3.030593e-003
2.999361190474774e-003	1.721872e-003	-3.968369e-004
3.003546458331917e-003	-4.120195e-003	2.232657e-003
3.007731726189060e-003	-9.953373e-003	4.857888e-003
3.011916994046203e-003	-1.577766e-002	7.478857e-003
3.016102261903346e-003	-2.159306e-002	1.009556e-002
3.020287529760489e-003	-2.739956e-002	1.270801e-002
3.024472797617631e-003	-3.319718e-002	1.531619e-002
3.034238422617631e-003	-4.672601e-002	2.140135e-002
3.044004047617631e-003	-5.995778e-002	2.735148e-002
3.053769672617630e-003	-7.289248e-002	3.316657e-002
3.063535297617630e-003	-8.553012e-002	3.884663e-002
3.073300922617630e-003	-9.787071e-002	4.439165e-002
3.083066547617630e-003	-1.099142e-001	4.980165e-002
3.092832172617630e-003	-1.216607e-001	5.507660e-002
3.108178154760487e-003	-1.393096e-001	6.299840e-002
3.123524136903343e-003	-1.553366e-001	7.018809e-002
3.138870119046200e-003	-1.697418e-001	7.664567e-002
3.154216101189057e-003	-1.825252e-001	8.237114e-002
3.169562083331914e-003	-1.936867e-001	8.736449e-002
3.184908065474771e-003	-2.032264e-001	9.162573e-002
3.200254047617627e-003	-2.111442e-001	9.515486e-002
3.223273020831913e-003	-2.186961e-001	9.849818e-002
3.246291994046198e-003	-2.217945e-001	9.983840e-002
3.269310967260483e-003	-2.204393e-001	9.917551e-002
3.292329940474769e-003	-2.146306e-001	9.650953e-002
3.315348913689053e-003	-2.043683e-001	9.184044e-002
3.338367886903339e-003	-1.896526e-001	8.516825e-002
3.361386860117624e-003	-1.704833e-001	7.649296e-002
3.373245119046195e-003	-1.592235e-001	7.140370e-002
3.385103377974766e-003	-1.472578e-001	6.599841e-002
3.396961636903337e-003	-1.345861e-001	6.027708e-002
3.408819895831909e-003	-1.212086e-001	5.423972e-002
3.420678154760480e-003	-1.071251e-001	4.788631e-002
3.432536413689051e-003	-9.233567e-002	4.121687e-002
3.444394672617622e-003	-7.684033e-002	3.423140e-002
3.451370119046194e-003	-6.758763e-002	3.006130e-002
3.458345565474765e-003	-5.825043e-002	2.585388e-002
3.465321011903336e-003	-4.882874e-002	2.160914e-002
3.472296458331907e-003	-3.932256e-002	1.732708e-002
3.479271904760479e-003	-2.973187e-002	1.300769e-002
3.486247351189050e-003	-2.005670e-002	8.650983e-003
3.493222797617621e-003	-1.029702e-002	4.256955e-003
3.498105610117621e-003	-3.468519e-003	1.183048e-003
3.502988422617621e-003	3.347250e-003	-1.884771e-003
3.507871235117621e-003	1.015028e-002	-4.946503e-003
3.512754047617621e-003	1.694058e-002	-8.002146e-003
3.517636860117621e-003	2.371813e-002	-1.105170e-002
3.522519672617621e-003	3.048296e-002	-1.409517e-002
3.527402485117620e-003	3.723504e-002	-1.713255e-002
3.537168110117620e-003	5.071572e-002	-2.319561e-002
3.546933735117620e-003	6.388507e-002	-2.911723e-002
3.556699360117620e-003	7.674308e-002	-3.489740e-002
3.566464985117620e-003	8.928977e-002	-4.053613e-002
3.576230610117619e-003	1.015251e-001	-4.603340e-002
3.585996235117619e-003	1.134491e-001	-5.138923e-002
3.595761860117619e-003	1.250618e-001	-5.660361e-002
3.611805386903333e-003	1.432543e-001	-6.476837e-002
3.627848913689047e-003	1.596311e-001	-7.211370e-002
3.643892440474761e-003	1.741924e-001	-7.863962e-002
3.659935967260475e-003	1.869380e-001	-8.434611e-002
3.675979494046189e-003	1.978680e-001	-8.923319e-002
3.692023020831903e-003	2.069824e-001	-9.330084e-002
3.708066547617617e-003	2.142812e-001	-9.654906e-002
3.730387976189045e-003	2.201385e-001	-9.913093e-002
3.752709404760473e-003	2.218314e-001	-9.984004e-002
3.775030833331901e-003	2.193601e-001	-9.867641e-002
3.797352261903329e-003	2.127245e-001	-9.564003e-002
3.819673690474757e-003	2.019247e-001	-9.073090e-002
3.841995119046185e-003	1.869606e-001	-8.394902e-002
3.864316547617613e-003	1.678322e-001	-7.529440e-002
3.876174806546185e-003	1.563455e-001	-7.010335e-002
3.888033065474755e-003	1.441714e-001	-6.460464e-002
3.899891324403327e-003	1.313099e-001	-5.879826e-002
3.911749583331898e-003	1.177610e-001	-5.268422e-002
3.923607842260469e-003	1.035248e-001	-4.626252e-002
3.935466101189040e-003	8.860124e-002	-3.953316e-002
3.947324360117611e-003	7.299028e-002	-3.249613e-002
3.954299806546183e-003	6.368068e-002	-2.830071e-002
3.961275252974754e-003	5.429428e-002	-2.407143e-002
3.968250699403326e-003	4.483108e-002	-1.980830e-002
3.975226145831896e-003	3.529108e-002	-1.551132e-002
3.982201592260468e-003	2.567428e-002	-1.118048e-002
3.989177038689039e-003	1.598068e-002	-6.815780e-003
3.996152485117610e-003	6.210279e-003	-2.417229e-003
4.000337752974753e-003	3.586835e-004	2.167531e-004
4.004523020831896e-003	-5.483082e-003	2.846050e-003
4.008708288689039e-003	-1.131502e-002	5.470661e-003
4.012893556546182e-003	-1.713712e-002	8.090586e-003
4.017078824403325e-003	-2.294939e-002	1.070583e-002
4.021264092260467e-003	-2.875184e-002	1.331638e-002
4.025449360117610e-003	-3.454445e-002	1.592225e-002
4.035214985117610e-003	-4.805774e-002	2.200027e-002
4.044980610117609e-003	-6.126920e-002	2.794112e-002
4.054746235117609e-003	-7.417882e-002	3.374479e-002
4.064511860117609e-003	-8.678662e-002	3.941128e-002
4.074277485117609e-003	-9.909259e-002	4.494060e-002
4.084043110117609e-003	-1.110967e-001	5.033274e-002
4.093808735117608e-003	-1.227990e-001	5.558771e-002
4.109154717260465e-003	-1.403681e-001	6.347339e-002
4.124500699403322e-003	-1.563077e-001	7.062357e-002
4.139846681546179e-003	-1.706179e-001	7.703823e-002
4.155192663689035e-003	-1.832986e-001	8.271738e-002
4.170538645831892e-003	-1.943500e-001	8.766101e-002
4.185884627974749e-003	-2.037719e-001	9.186913e-002
4.201230610117606e-003	-2.115644e-001	9.534174e-002
4.224249583331891e-003	-2.189149e-001	9.859435e-002
4.247268556546177e-003	-2.218172e-001	9.984631e-002
4.270287529760461e-003	-2.202713e-001	9.909761e-002
4.293306502974747e-003	-2.142773e-001	9.634826e-002
4.316325476189032e-003	-2.038350e-001	9.159826e-002
4.339344449403318e-003	-1.889446e-001	8.484761e-002
4.362363422617603e-003	-1.696059e-001	7.609630e-002
4.374221681546174e-003	-1.582701e-001	7.097292e-002
4.386079940474745e-003	-1.462345e-001	6.553628e-002
4.397938199403316e-003	-1.334991e-001	5.978638e-002
4.409796458331887e-003	-1.200639e-001	5.372323e-002
4.421654717260458e-003	-1.059290e-001	4.734682e-002
4.433512976189030e-003	-9.109427e-002	4.065716e-002
4.445371235117601e-003	-7.555981e-002	3.365424e-002
4.452346681546172e-003	-6.628779e-002	2.947554e-002
4.459322127974744e-003	-5.693384e-002	2.526067e-002
4.466297574403315e-003	-4.749796e-002	2.100964e-002
4.473273020831886e-003	-3.798014e-002	1.672244e-002
4.480248467260457e-003	-2.838039e-002	1.239908e-002
4.487223913689028e-003	-1.869871e-002	8.039544e-003
4.494199360117600e-003	-8.935096e-003	3.643843e-003
4.498384627974743e-003	-3.084996e-003	1.010412e-003
4.502569895831885e-003	2.757154e-003	-1.619180e-003
4.506755163689028e-003	8.591354e-003	-4.244933e-003
4.510940431546171e-003	1.441760e-002	-6.866847e-003
4.515125699403314e-003	2.023591e-002	-9.484921e-003
4.519310967260456e-003	2.604626e-002	-1.209916e-002
4.523496235117599e-003	3.184866e-002	-1.470955e-002
4.533261860117599e-003	4.539252e-002	-2.080162e-002
4.543027485117599e-003	5.864410e-002	-2.676080e-002
4.552793110117599e-003	7.160339e-002	-3.258710e-002
4.562558735117598e-003	8.427040e-002	-3.828051e-002
4.572324360117598e-003	9.664513e-002	-4.384103e-002
4.582089985117598e-003	1.087276e-001	-4.926867e-002
4.591855610117598e-003	1.205177e-001	-5.456343e-002
4.607201592260454e-003	1.382458e-001	-6.252104e-002
4.622547574403312e-003	1.543596e-001	-6.974997e-002
4.637893556546168e-003	1.688593e-001	-7.625022e-002
4.653239538689025e-003	1.817448e-001	-8.202179e-002
4.668585520831881e-003	1.930161e-001	-8.706467e-002
4.683931502974739e-003	2.026732e-001	-9.137887e-002
4.699277485117595e-003	2.107162e-001	-9.496439e-002
4.722296458331880e-003	2.184691e-001	-9.839829e-002
4.745315431546166e-003	2.217634e-001	-9.982671e-002
4.768334404760451e-003	2.205989e-001	-9.924967e-002
4.791353377974737e-003	2.149758e-001	-9.666715e-002
4.814372351189021e-003	2.048939e-001	-9.207915e-002
4.837391324403307e-003	1.903534e-001	-8.548568e-002
4.860410297617592e-003	1.713542e-001	-7.688674e-002
4.866688199403307e-003	1.656197e-001	-7.429429e-002
4.872966101189020e-003	1.596519e-001	-7.159722e-002
4.879244002974735e-003	1.534508e-001	-6.879555e-002
4.885521904760448e-003	1.470162e-001	-6.588926e-002
4.891799806546163e-003	1.403483e-001	-6.287837e-002
4.898077708331877e-003	1.334470e-001	-5.976286e-002
4.904355610117591e-003	1.263123e-001	-5.654275e-002
4.909238422617591e-003	1.206465e-001	-5.398609e-002
4.919004047617591e-003	1.088612e-001	-4.866939e-002
4.928769672617591e-003	9.678314e-002	-4.322222e-002
4.938535297617590e-003	8.441223e-002	-3.764458e-002
4.948300922617590e-003	7.174849e-002	-3.193647e-002
4.958066547617590e-003	5.879194e-002	-2.609788e-002
4.967832172617590e-003	4.554256e-002	-2.012882e-002
4.977597797617589e-003	3.200036e-002	-1.402929e-002
4.997129047617589e-003	4.847814e-003	-1.803775e-003
5.000000000000000e-003	8.403712e-004	-1.224647e-016
