time	V(v1)	V(v2)	V(vout)
1.066788260763932e-003	-2.037172e-001	2.037172e-001	6.472743e-001
1.080041608978218e-003	-2.415523e-001	2.415523e-001	7.685028e-001
1.093294957192503e-003	-2.771427e-001	2.771427e-001	8.825755e-001
1.106548305406788e-003	-3.104885e-001	3.104885e-001	9.894924e-001
1.119801653621074e-003	-3.415895e-001	3.415895e-001	1.089254e+000
1.133055001835359e-003	-3.704459e-001	3.704459e-001	1.181859e+000
1.146308350049645e-003	-3.970575e-001	3.970575e-001	1.267308e+000
1.159561698263930e-003	-4.214245e-001	4.214245e-001	1.345602e+000
1.188161028621072e-003	-4.628769e-001	4.628769e-001	1.479064e+000
1.216760358978215e-003	-4.888127e-001	4.888127e-001	1.562877e+000
1.245359689335357e-003	-4.992318e-001	4.992318e-001	1.597039e+000
1.273959019692499e-003	-4.941344e-001	4.941344e-001	1.581551e+000
1.302558350049641e-003	-4.735205e-001	4.735205e-001	1.516412e+000
1.331157680406784e-003	-4.373899e-001	4.373899e-001	1.401624e+000
1.359757010763926e-003	-3.857428e-001	3.857428e-001	1.237185e+000
1.371615269692497e-003	-3.605834e-001	3.605834e-001	1.156970e+000
1.383473528621068e-003	-3.338207e-001	3.338207e-001	1.071603e+000
1.395331787549639e-003	-3.054549e-001	3.054549e-001	9.810859e-001
1.407190046478211e-003	-2.754858e-001	2.754858e-001	8.854174e-001
1.419048305406782e-003	-2.439134e-001	2.439134e-001	7.845978e-001
1.430906564335353e-003	-2.107378e-001	2.107378e-001	6.786272e-001
1.442764823263924e-003	-1.759589e-001	1.759589e-001	5.675056e-001
1.449740269692495e-003	-1.551819e-001	1.551819e-001	5.011066e-001
1.456715716121067e-003	-1.342087e-001	1.342087e-001	4.340707e-001
1.463691162549638e-003	-1.130393e-001	1.130393e-001	3.663979e-001
1.470666608978209e-003	-9.167359e-002	9.167359e-002	2.980881e-001
1.477642055406780e-003	-7.011170e-002	7.011170e-002	2.291414e-001
1.484617501835352e-003	-4.835359e-002	4.835359e-002	1.595577e-001
1.491592948263923e-003	-2.639925e-002	2.639925e-002	8.933709e-002
1.495080671478209e-003	-1.543892e-002	1.543892e-002	5.427703e-002
1.498568394692494e-003	-4.484314e-003	4.484314e-003	1.923295e-002
1.502056117906780e-003	6.464562e-003	-6.464562e-003	-1.579514e-002
1.505543841121066e-003	1.740771e-002	-1.740771e-002	-5.080726e-002
1.509031564335351e-003	2.834512e-002	-2.834512e-002	-8.580339e-002
1.512519287549637e-003	3.927681e-002	-3.927681e-002	-1.207835e-001
1.516007010763923e-003	5.020277e-002	-5.020277e-002	-1.557477e-001
1.524377546478208e-003	7.646051e-002	-7.646051e-002	-2.397851e-001
1.532748082192494e-003	1.023311e-001	-1.023311e-001	-3.225968e-001
1.541118617906779e-003	1.278146e-001	-1.278146e-001	-4.041830e-001
1.549489153621065e-003	1.529109e-001	-1.529109e-001	-4.845435e-001
1.557859689335350e-003	1.776201e-001	-1.776201e-001	-5.636784e-001
1.566230225049636e-003	2.019421e-001	-2.019421e-001	-6.415877e-001
1.574600760763921e-003	2.258770e-001	-2.258770e-001	-7.182714e-001
1.588551653621064e-003	2.646806e-001	-2.646806e-001	-8.426285e-001
1.602502546478206e-003	3.008186e-001	-3.008186e-001	-9.584842e-001
1.616453439335349e-003	3.342911e-001	-3.342911e-001	-1.065839e+000
1.630404332192492e-003	3.650979e-001	-3.650979e-001	-1.164692e+000
1.644355225049634e-003	3.932392e-001	-3.932392e-001	-1.255044e+000
1.658306117906777e-003	4.187150e-001	-4.187150e-001	-1.336895e+000
1.672257010763919e-003	4.415251e-001	-4.415251e-001	-1.410245e+000
1.698763707192490e-003	4.742062e-001	-4.742062e-001	-1.515601e+000
1.725270403621061e-003	4.935219e-001	-4.935219e-001	-1.578185e+000
1.751777100049632e-003	4.994720e-001	-4.994720e-001	-1.597998e+000
1.778283796478203e-003	4.920567e-001	-4.920567e-001	-1.575040e+000
1.804790492906774e-003	4.712758e-001	-4.712758e-001	-1.509310e+000
1.831297189335345e-003	4.371295e-001	-4.371295e-001	-1.400808e+000
1.857803885763915e-003	3.896176e-001	-3.896176e-001	-1.249535e+000
1.869662144692486e-003	3.648055e-001	-3.648055e-001	-1.170434e+000
1.881520403621058e-003	3.383627e-001	-3.383627e-001	-1.086094e+000
1.893378662549629e-003	3.102892e-001	-3.102892e-001	-9.965153e-001
1.905236921478200e-003	2.805852e-001	-2.805852e-001	-9.016983e-001
1.917095180406771e-003	2.492504e-001	-2.492504e-001	-8.016427e-001
1.928953439335342e-003	2.162850e-001	-2.162850e-001	-6.963485e-001
1.940811698263914e-003	1.816889e-001	-1.816889e-001	-5.858158e-001
1.947787144692485e-003	1.610029e-001	-1.610029e-001	-5.197102e-001
1.954762591121056e-003	1.401091e-001	-1.401091e-001	-4.529310e-001
1.961738037549627e-003	1.190076e-001	-1.190076e-001	-3.854781e-001
1.968713483978199e-003	9.769842e-002	-9.769842e-002	-3.173514e-001
1.975688930406770e-003	7.618149e-002	-7.618149e-002	-2.485511e-001
1.982664376835341e-003	5.445684e-002	-5.445684e-002	-1.790772e-001
1.989639823263912e-003	3.252447e-002	-3.252447e-002	-1.089295e-001
2.014053885763912e-003	-4.409423e-002	4.409423e-002	1.361995e-001
2.021726876835340e-003	-6.818114e-002	6.818114e-002	2.132856e-001
2.029399867906769e-003	-9.197341e-002	9.197341e-002	2.894401e-001
2.037072858978197e-003	-1.154710e-001	1.154710e-001	3.646629e-001
2.044745850049626e-003	-1.386740e-001	1.386740e-001	4.389541e-001
2.052418841121054e-003	-1.615824e-001	1.615824e-001	5.123136e-001
2.060091832192483e-003	-1.841961e-001	1.841961e-001	5.847415e-001
2.067764823263911e-003	-2.065151e-001	2.065151e-001	6.562378e-001
2.081018171478196e-003	-2.442331e-001	2.442331e-001	7.770938e-001
2.094271519692482e-003	-2.796904e-001	2.796904e-001	8.907428e-001
2.107524867906767e-003	-3.128871e-001	3.128871e-001	9.971849e-001
2.120778216121052e-003	-3.438232e-001	3.438232e-001	1.096420e+000
2.134031564335338e-003	-3.724986e-001	3.724986e-001	1.188448e+000
2.147284912549623e-003	-3.989135e-001	3.989135e-001	1.273270e+000
2.160538260763909e-003	-4.230676e-001	4.230676e-001	1.350884e+000
2.189137591121051e-003	-4.639871e-001	4.639871e-001	1.482644e+000
2.217736921478193e-003	-4.893961e-001	4.893961e-001	1.564773e+000
2.246336251835335e-003	-4.992946e-001	4.992946e-001	1.597269e+000
2.274935582192478e-003	-4.936826e-001	4.936826e-001	1.580135e+000
